1,0.013,0.516,0.677,0.188,,5.32,35.16,34.48,0.188,15.759,7.879,135.81,14.22,0.1125,28.86,8.39E+05,1.21E+07,2.55E+07
2,0.305,0.131,0.943,0.755,,12.62,31.31,47.26,0.755,34.463,17.232,152.47,15.97,0.1002,114.99,1.35E+05,4.26E+07,4.50E+07
3,0.684,0.921,0.239,0.938,,22.09,39.21,13.48,0.938,58.649,29.324,121.76,12.75,0.1255,72.97,4.61E+05,5.74E+07,5.74E+07
4,0.731,0.868,0.112,0.704,,23.26,38.68,7.39,0.704,46.588,23.294,123.45,12.93,0.1238,33.62,8.23E+05,5.56E+07,5.77E+07
5,0.502,0.81,0.419,0.101,,17.56,38.1,22.12,0.101,14.68,7.34,125.31,13.12,0.1219,33.96,6.63E+05,6.28E+07,2.36E+07
6,0.406,0.421,0.999,0.822,,15.16,34.21,49.95,0.822,41.675,20.837,139.57,14.62,0.1095,164.29,1.25E+05,5.34E+07,5.56E+07
7,0.221,0.211,0.313,0.077,,10.53,32.11,17.05,0.077,12.44,6.22,148.7,15.57,0.1028,13.19,2.04E+06,1.35E+07,3.04E+07
8,0.856,0.991,0.148,0.546,,26.39,39.91,9.1,0.546,40.813,20.407,119.63,12.53,0.1277,39.81,6.81E+05,6.23E+07,5.12E+07
9,0.435,0.797,0.08,0.925,,15.89,37.97,5.84,0.925,51.198,25.599,125.73,13.17,0.1215,26.06,1.06E+06,5.41E+07,6.00E+07
10,0.654,0.049,0.389,0.304,,21.35,30.49,20.68,0.304,21.451,10.726,156.59,16.4,0.0976,37.73,3.28E+05,6.30E+07,3.84E+07
11,0.879,0.457,0.015,0.16,,26.97,34.57,2.71,0.16,17.652,8.826,138.12,14.46,0.1106,5.67,2.63E+06,6.30E+07,3.56E+07
12,0.734,0.751,0.761,0.775,,23.35,37.51,38.53,0.775,48.892,24.446,127.3,13.33,0.12,174.39,1.65E+05,6.05E+07,5.56E+07
13,0.599,0.47,0.778,0.895,,19.97,34.7,39.36,0.895,48.617,24.308,137.6,14.41,0.111,156.27,1.59E+05,5.50E+07,4.98E+07
14,0.19,0.312,0.531,0.496,,9.74,33.12,27.49,0.496,26.055,13.028,144.18,15.1,0.106,50.79,2.36E+05,1.72E+07,4.38E+07
15,0.559,0.709,0.871,0.276,,18.97,37.09,43.8,0.276,22.686,11.343,128.72,13.48,0.1187,100.52,1.54E+05,6.70E+07,3.36E+07
16,0.603,0.363,0.593,0.216,,20.06,33.63,30.45,0.216,18.972,9.486,141.97,14.87,0.1076,55.03,2.32E+05,6.30E+07,3.30E+07
17,0.982,0.017,0.824,0.985,,29.54,30.17,41.53,0.985,51.398,25.699,158.24,16.57,0.0966,150.03,1.53E+05,5.20E+07,5.49E+07
18,0.365,0.253,0.271,0.674,,14.12,32.53,14.98,0.674,33.792,16.896,146.77,15.37,0.1041,38.13,4.19E+05,4.74E+07,5.06E+07
19,0.141,0.945,0.904,0.855,,8.54,39.45,45.39,0.855,43.469,21.734,121.03,12.67,0.1262,166.44,1.36E+05,5.00E+07,5.05E+07
20,0.277,0.59,0.605,0.405,,11.93,35.9,31.06,0.405,25.379,12.69,132.98,13.93,0.1149,63.87,2.12E+05,2.18E+07,4.59E+07
21,0.245,0.187,0.856,0.035,,11.11,31.87,43.08,0.035,11.104,5.552,149.81,15.69,0.102,29.56,1.43E+06,1.37E+07,2.97E+07
22,0.035,0.601,0.47,0.567,,5.87,36.01,24.56,0.567,28.267,14.133,132.61,13.89,0.1152,48.59,2.62E+05,2.82E+07,4.34E+07
23,0.471,0.663,0.641,0.257,,16.77,36.63,32.77,0.257,21.166,10.583,130.35,13.65,0.1172,65.78,2.10E+05,5.89E+07,3.65E+07
24,0.375,0.56,0.045,0.619,,14.37,35.6,4.15,0.619,34.651,17.325,134.12,14.04,0.1139,11.97,1.49E+06,4.80E+07,5.22E+07
25,0.959,0.092,0.537,0.642,,28.98,30.92,27.76,0.642,37.626,18.813,154.42,16.17,0.0989,85.53,2.24E+05,6.25E+07,6.00E+07
26,0.829,0.277,0.174,0.337,,25.72,32.77,10.35,0.337,24.872,12.436,145.71,15.26,0.1049,25.09,6.33E+05,6.30E+07,4.03E+07
27,0.093,0.843,0.219,0.376,,7.32,38.43,12.52,0.376,23.769,11.885,124.25,13.01,0.123,22.04,5.37E+05,1.45E+07,3.65E+07
28,0.926,0.674,0.456,0.008,,28.16,36.74,23.88,0.008,10.423,5.211,129.96,13.61,0.1176,39.28,1.72E+06,5.89E+07,2.59E+07
29,0.114,0.154,0.72,0.504,,7.86,31.54,36.57,0.504,24.469,12.234,151.39,15.85,0.1009,57.5,1.84E+05,3.16E+07,4.02E+07
30,0.778,0.372,0.365,0.454,,24.45,33.72,19.5,0.454,30.387,15.193,141.61,14.83,0.1079,55.48,3.27E+05,6.30E+07,4.41E+07
